Statess,Population,AreaInSqKm,DensityPerSqKm
Uttar Pradesh,199812341,240.928,828
Maharashtra,112372972,307.713,365
Bihar,103804637,94.163,1102
West Bengal,91347736,88.752,1029
Madhya Pradesh,72597565,308.245,236
Tamil Nadu,72138958,130.058,555
Rajasthan,68621012,342.239,201
Karnataka,61130704,191.791,319
Gujarat,60383628,196.024,308
Andhra Pradesh,49386799,162.968,303
Odisha,41947358,155.707,269
Telangana,35286757,114.84,307
Kerala,33387677,388.63,859
Jharkhand,32966238,79714,414
Assam,31169272,78438,397
Punjab,27704236,50362,550
Chattisgarh,25540196,135191,189
Haryana,25353081,44212,573
Jammu and Kashmir,12548926,222236,57
Uttarakhand,10116752,53483,189
Himachal Pradesh,6864602,55673,123
Tripura,3671032,10486,350
Meghalaya,2964007,22429,132
Manipur,2721756,22327,122
Nagaland,1980602,16579,119
Goa,1457723,3702,394
Arunachal Pradesh,1382611,21000,50
Mizoram,1091014,21081,52
Sikkim,607688,7096,86
Andaman And Nicobar Island,380581,6860,8249
Dadra And Nagar Haveli,343709,55880,491
Daman And Diu,243247,53760,111
Lakshadweep,64473,6300,30